caseid,humanori,atlantis,posthink,fortunet,astrolog,haunting,dreams,ufos,bigfoot,WATCH_TA,WATCH_CO,WATCH_TR,WATCH_CR
1287,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Often,Sometimes,Often,Very often
1288,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Sometimes,Never,Never,Never
1289,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Never,Often,Often,Sometimes
1290,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Rarely,,Rarely,Rarely
1291,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
1292,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Rarely,Rarely,Sometimes,Sometimes
1293,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often
1294,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Rarely,Sometimes,Rarely,Never
1295,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Rarely,Rarely,Rarely
1296,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Never,Never,Sometimes,Never
1297,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Sometimes,Never,Never,Rarely
1298,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Never,Sometimes,Sometimes,Sometimes
1299,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Sometimes,Rarely,Rarely,Rarely
1300,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
1301,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",,,,,,,,,Rarely,Never,Never,Sometimes
1302,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very often,Often,Very often,Very often
1303,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Sometimes,Often,Sometimes,Very often
1304,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Rarely,Rarely
1305,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Sometimes,Sometimes
1307,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Often
1308,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Never,Never,Never,Sometimes
1309,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Never,Never,Never,Never
1310,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Often,Often,Rarely,Rarely
1311,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Rarely,Sometimes,Rarely,Often
1312,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Very often
1314,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Rarely,Often,Sometimes
1315,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Rarely,Often
1317,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Sometimes,Rarely,Sometimes,Often
1318,,,,,,,,,,Never,Never,Never,Never
1319,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Never,Rarely
1320,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Often,,Rarely
1321,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Never,Sometimes,Rarely,Rarely
1322,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Often,Sometimes,Sometimes
1323,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Rarely,Often,Rarely,Sometimes
1324,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Sometimes,Sometimes,Rarely,Rarely
1325,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Rarely,Often,Often,Very often
1326,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Very often,Never,Very often
1327,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Rarely,Never,Often,Rarely
1328,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Rarely,Sometimes
1329,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Rarely,Often,Sometimes,Rarely
1330,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Often,Sometimes,Often
1332,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Rarely,Rarely,Rarely,Rarely
1333,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Sometimes,Rarely,Rarely,Often
1335,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Never,Never,Sometimes,Sometimes
1336,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Never,Never,Very often
1338,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Never,Rarely,Never,Never
1339,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Often,Often,Sometimes,Very often
1340,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Never,Sometimes,Sometimes,Rarely
1341,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Often,Rarely,Rarely,Rarely
1342,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Very often,Sometimes,Very often,Sometimes
1343,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Very often,Never,Often,Often
1344,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Sometimes,Never,Rarely
1345,,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Disagree,Rarely,Rarely,Rarely,Sometimes
1346,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Rarely,Sometimes,Never,Never
1347,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Disagree,Often,Sometimes,Never,Sometimes
1348,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Often,Rarely,Sometimes,Very often
1349,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Rarely,Very often,Sometimes,Often
1350,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Never,Sometimes,Sometimes,Never
1351,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Very often,Never,Never
1352,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Often,Often,Sometimes
1353,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Never,Rarely,Never,Rarely
1354,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Rarely,Sometimes
1355,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Never,Never,Rarely,Rarely
1356,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Never,Never,Sometimes,Sometimes
1357,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,,Strongly disagree,Disagree,Agree,Disagree,Agree,Disagree,Sometimes,Often,Often,Often
1358,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Often,Very often,Very often
1359,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Never,Never,Rarely,Often
1360,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Often,Sometimes,Sometimes
1362,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Rarely,Sometimes,Sometimes,Sometimes
1363,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Rarely,Rarely,Often,Very often
1365,,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Very often,Very often,Very often,Very often
1366,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Never,Sometimes,Never,Never
1367,,,,,,,,,,Rarely,Never,Sometimes,Sometimes
1369,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Rarely,Rarely
1370,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Never,Never,Rarely,Never
1371,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Rarely,Rarely,Sometimes,Often
1372,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Often,Often,Often,Often
1373,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Never,Never,Often,Often
1374,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Never,Never,Never,Never
1375,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Very often,Sometimes,Often,Rarely
1377,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Often,Often
1378,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly agree,Rarely,Sometimes,Rarely,Very often
1379,,,,,,,,,,,,,
1380,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Rarely,Rarely,Sometimes,Very often
1381,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Rarely,Rarely
1382,,,,,,,,,,Rarely,Sometimes,Sometimes,Rarely
1384,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Rarely,Never,Never,Often
1385,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Rarely,Often,Often,Often
1386,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,,Agree,Rarely,Very often,Rarely,Rarely
1387,,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Never,Never,Never,Never
1388,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Rarely,Never,Never,Never
1389,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Often,Often,Often
1390,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sometimes,Rarely,Sometimes,Very often
1391,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Never,Rarely,Often
1393,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Rarely,Rarely,Rarely,Rarely
1394,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Never,Rarely,Never,Rarely
1395,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Sometimes,Often,Rarely,Never
1396,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Rarely,Sometimes,Rarely,Rarely
1398,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Rarely,Sometimes
1399,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Sometimes,Rarely,Sometimes,Sometimes
1400,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Rarely,Sometimes,Rarely,Rarely
1401,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Rarely,Rarely,Sometimes,Often
1402,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very often,Very often,Very often,Very often
1403,Man has developed over millions of years from less advanced forms of life. God had no part in this process,,,,,,,,,Never,Never,Never,Never
1404,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,,,,
1405,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Rarely,Sometimes,Sometimes
1406,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Disagree,Rarely,Rarely,Often,Often
1408,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Rarely,Very often,Never,Sometimes
1409,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Often,Often,Very often,Often
1410,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely
1411,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Sometimes,Rarely
1412,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Never,Rarely,Never
1413,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Often,Often,Sometimes,Sometimes
1414,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Rarely,Rarely,Rarely
1415,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Often,Rarely,Rarely,Never
1416,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Rarely,Often,Sometimes
1417,"God created man pretty much in his present form at one time within the last 10,000 years",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,Sometimes,Sometimes,Sometimes
1418,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Rarely,Very often,Very often,Sometimes
1419,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Rarely,Very often,Rarely,Sometimes
1420,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,,Very often
1421,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Rarely,Sometimes,Rarely,Rarely
1422,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Very often,Very often,Often,Sometimes
1423,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Never,Sometimes,Rarely,Very often
1425,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Never,Never,Never,Never
1427,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes
1428,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,,Disagree,Agree,Disagree,Agree,Agree,Rarely,Rarely,Rarely,Sometimes
1430,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Never,Never,Sometimes,Often
1431,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Sometimes,Sometimes,Rarely,
1432,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Sometimes,Rarely,Sometimes,Often
1433,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Rarely,Sometimes,Never,Rarely
1434,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Never,Never
1435,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Very often,Very often,Very often,Very often
1436,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Never,Sometimes,Never,Never
1437,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Rarely,Never,Very often,Very often
1438,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Never,Never,Sometimes,Sometimes
1439,,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Often,Rarely,Often,Often
1440,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Often,Very often,Sometimes,Rarely
1441,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,,Agree,Disagree,Often,Never,Rarely,Very often
1442,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Sometimes,Very often,Rarely,Rarely
1443,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Sometimes,Rarely,Rarely,Rarely
1444,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Very often,Sometimes,Very often,Very often
1445,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Never,Never,Sometimes,Rarely
1446,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Sometimes,Rarely,Rarely,Never
1447,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Never
1448,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Sometimes,Never,Very often,Rarely
1449,"God created man pretty much in his present form at one time within the last 10,000 years",Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Never,Sometimes,Rarely,Sometimes
1450,Man has developed over millions of years from less advanced forms of life. God had no part in this process,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Rarely,Sometimes,Never,Never
1451,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Sometimes,Never,Rarely,Often
1452,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Rarely,Never,Never,Never
1453,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Rarely,Rarely,Never,Sometimes
1454,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Never,Sometimes
1455,"Man has developed over millions of years from less advanced forms of life, but God guided this process, including man's",Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Rarely,Rarely,Rarely,Often
1456,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Sometimes,Never,Never
1457,"God created man pretty much in his present form at one time within the last 10,000 years",Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Never,Sometimes,Rarely,Often
